"","Beer","Brewery","Location","Style","Size","ABV","IBU"
"1","Get Together","NorthGate Brewing","Minneapolis, MN","American IPA","16 oz.","4.5%","50"
"2","Maggie's Leap","NorthGate Brewing","Minneapolis, MN","Milk / Sweet Stout","16 oz.","4.9%","26"
"3","Wall's End","NorthGate Brewing","Minneapolis, MN","English Brown Ale","16 oz.","4.8%","19"
"4","Pumpion","NorthGate Brewing","Minneapolis, MN","Pumpkin Ale","16 oz.","6.0%","38"
"5","Stronghold","NorthGate Brewing","Minneapolis, MN","American Porter","16 oz.","6.0%","25"
"6","Parapet ESB","NorthGate Brewing","Minneapolis, MN","Extra Special / Strong Bitter (ESB)","16 oz.","5.6%","47"
"7","Citra Ass Down","Against the Grain Brewery","Louisville, KY","American Double / Imperial IPA","16 oz.","8.0%","68"
"8","London Balling","Against the Grain Brewery","Louisville, KY","English Barleywine","16 oz.","12.5%","80"
"9","35 K","Against the Grain Brewery","Louisville, KY","Milk / Sweet Stout","16 oz.","7.7%","25"
"10","A Beer","Against the Grain Brewery","Louisville, KY","American Pale Ale (APA)","16 oz.","4.2%","42"
"11","Rules are Rules","Against the Grain Brewery","Louisville, KY","German Pilsener","16 oz.","5.0%","25"
"12","Flesh Gourd'n","Against the Grain Brewery","Louisville, KY","Pumpkin Ale","16 oz.","6.6%","21"
"13","Sho'nuff","Against the Grain Brewery","Louisville, KY","Belgian Pale Ale","16 oz.","4.0%","13"
"14","Bloody Show","Against the Grain Brewery","Louisville, KY","American Pilsner","16 oz.","5.5%","17"
"15","Rico Sauvin","Against the Grain Brewery","Louisville, KY","American Double / Imperial IPA","16 oz.","7.6%","68"
"16","Coq de la Marche","Against the Grain Brewery","Louisville, KY","Saison / Farmhouse Ale","16 oz.","5.1%","38"
"17","Kamen Knuddeln","Against the Grain Brewery","Louisville, KY","American Wild Ale","16 oz.","6.5%","N/A"
"18","Pile of Face","Against the Grain Brewery","Louisville, KY","American IPA","16 oz.","6.0%","65"
"19","The Brown Note","Against the Grain Brewery","Louisville, KY","English Brown Ale","16 oz.","5.0%","20"
"20","House Lager","Jack's Abby Craft Lagers","Framingham, MA","Keller Bier / Zwickel Bier","16 oz.","5.2%","18"
"21","Leisure Time","Jack's Abby Craft Lagers","Framingham, MA","American Pale Lager","12 oz.","4.8%","15"
"22","Excess IPL","Jack's Abby Craft Lagers","Framingham, MA","American India Pale Lager","16 oz.","7.2%","80"
"23","Hoponius Union","Jack's Abby Craft Lagers","Framingham, MA","American India Pale Lager","12 oz.","6.7%","65"
"24","Calyptra","Jack's Abby Craft Lagers","Framingham, MA","American India Pale Lager","12 oz.","4.9%","45"
"25","Habitus (2014)","Mike Hess Brewing Company","San Diego, CA","American Double / Imperial IPA","16 oz.","8.0%","100"
"26","Solis","Mike Hess Brewing Company","San Diego, CA","American IPA","16 oz.","7.5%","85"
"27","Jucundus","Mike Hess Brewing Company","San Diego, CA","Wheat Ale","16 oz.","6.0%","24"
"28","Habitus","Mike Hess Brewing Company","San Diego, CA","American Double / Imperial IPA","16 oz.","8.0%","100"
"29","Grazias","Mike Hess Brewing Company","San Diego, CA","Cream Ale","16 oz.","6.3%","30"
"30","Claritas","Mike Hess Brewing Company","San Diego, CA","Kölsch","16 oz.","5.8%","28"
"31","Park","Fort Point Beer Company","San Francisco, CA","American Pale Wheat Ale","12 oz.","4.7%","19"
"32","Westfalia","Fort Point Beer Company","San Francisco, CA","American Amber / Red Ale","12 oz.","5.6%","16"
"33","KSA","Fort Point Beer Company","San Francisco, CA","Kölsch","12 oz.","4.6%","17"
"34","Villager","Fort Point Beer Company","San Francisco, CA","American IPA","12 oz.","6.3%","42"
