Beer,Brewery,State,Region,Style_12,Style_05,Size,ABV,IBU
Get Together,NorthGate Brewing,MN,Midwest,IPA,Strong Ale,16,4.5,50
Maggie's Leap,NorthGate Brewing,MN,Midwest,Stout / Porter,Dark,16,4.9,26
Wall's End,NorthGate Brewing,MN,Midwest,Dark Ale,Dark,16,4.8,19
Pumpion,NorthGate Brewing,MN,Midwest,Ale - Other,Ale,16,6.0,38
Citra Ass Down,Against the Grain Brewery,KY,South,IPA,Strong Ale,16,8.0,68
London Balling,Against the Grain Brewery,KY,South,Strong Ale,Strong Ale,16,12.5,80
35 K,Against the Grain Brewery,KY,South,Stout / Porter,Dark,16,7.7,25
A Beer,Against the Grain Brewery,KY,South,Pale Ale,Ale,16,4.2,42
Rules are Rules,Against the Grain Brewery,KY,South,German Lager,Lager,16,5.0,25
Flesh Gourd'n,Against the Grain Brewery,KY,South,Ale - Other,Ale,16,6.6,21
Sho'nuff,Against the Grain Brewery,KY,South,Pale Ale,Ale,16,4.0,13
Bloody Show,Against the Grain Brewery,KY,South,Pale Ale,Ale,16,5.5,17
Rico Sauvin,Against the Grain Brewery,KY,South,IPA,Strong Ale,16,7.6,68
Coq de la Marche,Against the Grain Brewery,KY,South,Ale - Other,Ale,16,5.1,38
Pile of Face,Against the Grain Brewery,KY,South,IPA,Strong Ale,16,6.0,65
The Brown Note,Against the Grain Brewery,KY,South,Dark Ale,Dark,16,5.0,20
Habitus (2014),Mike Hess Brewing Company,CA,West,IPA,Strong Ale,16,8.0,100
Solis,Mike Hess Brewing Company,CA,West,IPA,Strong Ale,16,7.5,85
Jucundus,Mike Hess Brewing Company,CA,West,Pale Ale,Ale,16,6.0,24
Habitus,Mike Hess Brewing Company,CA,West,IPA,Strong Ale,16,8.0,100
Grazias,Mike Hess Brewing Company,CA,West,Pale Ale,Ale,16,6.3,30
Claritas,Mike Hess Brewing Company,CA,West,German Ale,Ale,16,5.8,28
Park,Fort Point Beer Company,CA,West,Pale Ale,Ale,12,4.7,19
Westfalia,Fort Point Beer Company,CA,West,Dark Ale,Dark,12,5.6,16
KSA,Fort Point Beer Company,CA,West,German Ale,Ale,12,4.6,17
Villager,Fort Point Beer Company,CA,West,IPA,Strong Ale,12,6.3,42
Yeti Imperial Stout,Great Divide Brewing Company,CO,West,Stout / Porter,Dark,12,9.5,75
