Beer,Brewery,State,Region,Style_RAW,Style_12,Style_05,Size,ABV,IBU
Get Together,NorthGate Brewing,MN,Midwest,American IPA,IPA,Strong Ale,16,4.5,50
Pumpion,NorthGate Brewing,MN,Midwest,Pumpkin Ale,Ale - Other,Ale,16,6.0,38
London Balling,Against the Grain Brewery,KY,South,English Barleywine,Strong Ale,Strong Ale,16,12.5,80
A Beer,Against the Grain Brewery,KY,South,American Pale Ale APA,Pale Ale,Ale,16,4.2,42
Flesh Gourdn,Against the Grain Brewery,KY,South,Pumpkin Ale,Ale - Other,Ale,16,6.6,21
Shonuff,Against the Grain Brewery,KY,South,Belgian Pale Ale,Pale Ale,Ale,16,4.0,13
Bloody Show,Against the Grain Brewery,KY,South,American Pilsner,Pale Ale,Ale,16,5.5,17
Pile of Face,Against the Grain Brewery,KY,South,American IPA,IPA,Strong Ale,16,6.0,65
Solis,Mike Hess Brewing Company,CA,West,American IPA,IPA,Strong Ale,16,7.5,85
Jucundus,Mike Hess Brewing Company,CA,West,Wheat Ale,Pale Ale,Ale,16,6.0,24
Grazias,Mike Hess Brewing Company,CA,West,Cream Ale,Pale Ale,Ale,16,6.3,30
Claritas,Mike Hess Brewing Company,CA,West,Klsch,German Ale,Ale,16,5.8,28
Park,Fort Point Beer Company,CA,West,American Pale Wheat Ale,Pale Ale,Ale,12,4.7,19
KSA,Fort Point Beer Company,CA,West,Klsch,German Ale,Ale,12,4.6,17
Villager,Fort Point Beer Company,CA,West,American IPA,IPA,Strong Ale,12,6.3,42
Nordskye,Blackrocks Brewery,MI,Midwest,American IPA,IPA,Strong Ale,12,4.8,47
Gold,Perrin Brewing Company,MI,Midwest,American Blonde Ale,Pale Ale,Ale,12,4.8,15
98 Problems Cuz A Hop Aint One,Perrin Brewing Company,MI,Midwest,American IPA,IPA,Strong Ale,12,6.5,65
Veterans Pale Ale VPA,Perrin Brewing Company,MI,Midwest,American Pale Ale APA,Pale Ale,Ale,12,5.0,40
Grapefruit IPA,Perrin Brewing Company,MI,Midwest,American IPA,IPA,Strong Ale,12,5.0,35
Train Hopper,Witchs Hat Brewing Company,MI,Midwest,American IPA,IPA,Strong Ale,12,5.8,72
Thaipa,Bare Hands Brewery,IN,Midwest,American IPA,IPA,Strong Ale,16,7.0,46
Citra Faced,Three Pints Brewing,IN,Midwest,American Pale Wheat Ale,Pale Ale,Ale,16,5.5,64
Pale,Three Pints Brewing,IN,Midwest,American Pale Ale APA,Pale Ale,Ale,16,5.4,37
The Gadget,Four Fathers Brewing,IN,Midwest,American IPA,IPA,Strong Ale,16,6.4,90
Tribute,Indiana City Brewing,IN,Midwest,American Pale Ale APA,Pale Ale,Ale,12,5.8,58
Tip Off,Sun King Brewing Company,IN,Midwest,Altbier,German Ale,Ale,16,5.2,29
Blonde Czich,Evil Czech Brewery,IN,Midwest,American Blonde Ale,Pale Ale,Ale,16,4.9,23
Citrafest,450 North Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,5.0,45
Deduction,Taxman Brewing Company,IN,Midwest,Dubbel,Belgian,Ale,12,8.0,22
Surfrider,The Dudes Brewing Company,CA,West,American Pale Ale APA,Pale Ale,Ale,16,5.2,35
Galaxy IPA,Big Muddy Brewing,IL,Midwest,American IPA,IPA,Strong Ale,16,7.5,60
Jah Mon,Rivertowne Brewing Company,PA,Northeast,American IPA,IPA,Strong Ale,12,5.0,100
Fist City,Revolution Brewing Company,IL,Midwest,American Pale Ale APA,Pale Ale,Ale,12,5.5,40
