Beer,Brewery,State,Region,Style_RAW,Style_12,Style_05,Size,ABV,IBU
Get Together,NorthGate Brewing,MN,Midwest,American IPA,IPA,Strong Ale,16,4.5,50
Walls End,NorthGate Brewing,MN,Midwest,English Brown Ale,Dark Ale,Dark,16,4.8,19
Pumpion,NorthGate Brewing,MN,Midwest,Pumpkin Ale,Ale - Other,Ale,16,6.0,38
London Balling,Against the Grain Brewery,KY,South,English Barleywine,Strong Ale,Strong Ale,16,12.5,80
A Beer,Against the Grain Brewery,KY,South,American Pale Ale APA,Pale Ale,Ale,16,4.2,42
Rules are Rules,Against the Grain Brewery,KY,South,German Pilsener,German Lager,Lager,16,5.0,25
Flesh Gourdn,Against the Grain Brewery,KY,South,Pumpkin Ale,Ale - Other,Ale,16,6.6,21
Shonuff,Against the Grain Brewery,KY,South,Belgian Pale Ale,Pale Ale,Ale,16,4.0,13
Bloody Show,Against the Grain Brewery,KY,South,American Pilsner,Pale Ale,Ale,16,5.5,17
Pile of Face,Against the Grain Brewery,KY,South,American IPA,IPA,Strong Ale,16,6.0,65
The Brown Note,Against the Grain Brewery,KY,South,English Brown Ale,Dark Ale,Dark,16,5.0,20
Solis,Mike Hess Brewing Company,CA,West,American IPA,IPA,Strong Ale,16,7.5,85
Jucundus,Mike Hess Brewing Company,CA,West,Wheat Ale,Pale Ale,Ale,16,6.0,24
Grazias,Mike Hess Brewing Company,CA,West,Cream Ale,Pale Ale,Ale,16,6.3,30
Claritas,Mike Hess Brewing Company,CA,West,Klsch,German Ale,Ale,16,5.8,28
Park,Fort Point Beer Company,CA,West,American Pale Wheat Ale,Pale Ale,Ale,12,4.7,19
KSA,Fort Point Beer Company,CA,West,Klsch,German Ale,Ale,12,4.6,17
Villager,Fort Point Beer Company,CA,West,American IPA,IPA,Strong Ale,12,6.3,42
Yeti Imperial Stout,Great Divide Brewing Company,CO,West,Russian Imperial Stout,Stout - Porter,Dark,12,9.5,75
Dark Star,Big Lake Brewing,MI,Midwest,American Stout,Stout - Porter,Dark,16,8.0,54
Sparkle,Petoskey Brewing,MI,Midwest,American Pale Lager,Lager,Lager,16,4.1,12
Nordskye,Blackrocks Brewery,MI,Midwest,American IPA,IPA,Strong Ale,12,4.8,47
Hotbox Brown,Perrin Brewing Company,MI,Midwest,American Brown Ale,Dark Ale,Dark,12,5.5,10
Gold,Perrin Brewing Company,MI,Midwest,American Blonde Ale,Pale Ale,Ale,12,4.8,15
98 Problems Cuz A Hop Aint One,Perrin Brewing Company,MI,Midwest,American IPA,IPA,Strong Ale,12,6.5,65
Veterans Pale Ale VPA,Perrin Brewing Company,MI,Midwest,American Pale Ale APA,Pale Ale,Ale,12,5.0,40
Grapefruit IPA,Perrin Brewing Company,MI,Midwest,American IPA,IPA,Strong Ale,12,5.0,35
