Beer,Brewery,State,Region,Style_RAW,Style_12,Style_05,Size,ABV,IBU,ABV_Norm,IBU_Norm
Get Together,NorthGate Brewing,MN,Midwest,American IPA,IPA,Strong Ale,16,45.0,50,0.36,
Maggie's Leap,NorthGate Brewing,MN,Midwest,Milk / Sweet Stout,Stout / Porter,Dark,16,49.0,26,0.392,
Wall's End,NorthGate Brewing,MN,Midwest,English Brown Ale,Dark Ale,Dark,16,48.0,19,0.384,
Pumpion,NorthGate Brewing,MN,Midwest,Pumpkin Ale,Ale - Other,Ale,16,60.0,38,0.48,
Citra Ass Down,Against the Grain Brewery,KY,South,American Double / Imperial IPA,IPA,Strong Ale,16,80.0,68,0.64,
London Balling,Against the Grain Brewery,KY,South,English Barleywine,Strong Ale,Strong Ale,16,125.0,80,1.0,
35 K,Against the Grain Brewery,KY,South,Milk / Sweet Stout,Stout / Porter,Dark,16,77.0,25,0.616,
A Beer,Against the Grain Brewery,KY,South,American Pale Ale (APA),Pale Ale,Ale,16,42.0,42,0.336,
Rules are Rules,Against the Grain Brewery,KY,South,German Pilsener,German Lager,Lager,16,50.0,25,0.4,
Flesh Gourd'n,Against the Grain Brewery,KY,South,Pumpkin Ale,Ale - Other,Ale,16,66.0,21,0.528,
Sho'nuff,Against the Grain Brewery,KY,South,Belgian Pale Ale,Pale Ale,Ale,16,40.0,13,0.32,
Bloody Show,Against the Grain Brewery,KY,South,American Pilsner,Pale Ale,Ale,16,55.0,17,0.44,
Rico Sauvin,Against the Grain Brewery,KY,South,American Double / Imperial IPA,IPA,Strong Ale,16,76.0,68,0.608,
Coq de la Marche,Against the Grain Brewery,KY,South,Saison / Farmhouse Ale,Ale - Other,Ale,16,51.0,38,0.408,
Pile of Face,Against the Grain Brewery,KY,South,American IPA,IPA,Strong Ale,16,60.0,65,0.48,
The Brown Note,Against the Grain Brewery,KY,South,English Brown Ale,Dark Ale,Dark,16,50.0,20,0.4,
House Lager,Jack's Abby Craft Lagers,,,Keller Bier / Zwickel Bier,German Lager,Lager,16,52.0,18,0.416,
Leisure Time,Jack's Abby Craft Lagers,,,American Pale Lager,Lager,Lager,12,48.0,15,0.384,
Excess IPL,Jack's Abby Craft Lagers,,,American India Pale Lager,Lager,Lager,16,72.0,80,0.576,
Hoponius Union,Jack's Abby Craft Lagers,,,American India Pale Lager,Lager,Lager,12,67.0,65,0.536,
Calyptra,Jack's Abby Craft Lagers,,,American India Pale Lager,Lager,Lager,12,49.0,45,0.392,
Habitus (2014),Mike Hess Brewing Company,CA,West,American Double / Imperial IPA,IPA,Strong Ale,16,80.0,100,0.64,
Solis,Mike Hess Brewing Company,CA,West,American IPA,IPA,Strong Ale,16,75.0,85,0.6,
Jucundus,Mike Hess Brewing Company,CA,West,Wheat Ale,Pale Ale,Ale,16,60.0,24,0.48,
Habitus,Mike Hess Brewing Company,CA,West,American Double / Imperial IPA,IPA,Strong Ale,16,80.0,100,0.64,
Grazias,Mike Hess Brewing Company,CA,West,Cream Ale,Pale Ale,Ale,16,63.0,30,0.504,
Claritas,Mike Hess Brewing Company,CA,West,Kölsch,German Ale,Ale,16,58.0,28,0.464,
Park,Fort Point Beer Company,CA,West,American Pale Wheat Ale,Pale Ale,Ale,12,47.0,19,0.376,
Westfalia,Fort Point Beer Company,CA,West,American Amber / Red Ale,Dark Ale,Dark,12,56.0,16,0.448,
KSA,Fort Point Beer Company,CA,West,Kölsch,German Ale,Ale,12,46.0,17,0.368,
Villager,Fort Point Beer Company,CA,West,American IPA,IPA,Strong Ale,12,63.0,42,0.504,
Yeti Imperial Stout,Great Divide Brewing Company,CO,West,Russian Imperial Stout,Stout / Porter,Dark,12,95.0,75,0.76,
Dark Star,Big Lake Brewing,MI,Midwest,American Stout,Stout / Porter,Dark,16,80.0,54,0.64,
Sparkle,Petoskey Brewing,MI,Midwest,American Pale Lager,Lager,Lager,16,41.0,12,0.328,
Nordskye,Blackrocks Brewery,MI,Midwest,American IPA,IPA,Strong Ale,12,48.0,47,0.384,
Hotbox Brown,Perrin Brewing Company,MI,Midwest,American Brown Ale,Dark Ale,Dark,12,55.0,10,0.44,
Gold,Perrin Brewing Company,MI,Midwest,American Blonde Ale,Pale Ale,Ale,12,48.0,15,0.384,
98 Problems (Cuz A Hop Ain't One),Perrin Brewing Company,MI,Midwest,American IPA,IPA,Strong Ale,12,65.0,65,0.52,
Veteran’s Pale Ale (VPA),Perrin Brewing Company,MI,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,50.0,40,0.4,
Grapefruit IPA,Perrin Brewing Company,MI,Midwest,American IPA,IPA,Strong Ale,12,50.0,35,0.4,
Train Hopper,Witch's Hat Brewing Company,MI,Midwest,American IPA,IPA,Strong Ale,12,58.0,72,0.464,
Dirty Bastard,Founders Brewing Company,MI,Midwest,Scotch Ale / Wee Heavy,Strong Ale,Strong Ale,12,85.0,50,0.68,
Damascene Apricot Sour,Tin Man Brewing Company,IN,Midwest,Fruit / Vegetable Beer,Sour,Other,16,52.0,12,0.416,
Csar,Tin Man Brewing Company,IN,Midwest,Russian Imperial Stout,Stout / Porter,Dark,16,120.0,90,0.96,
Saucy Intruder,Black Acre Brewing Co.,IN,Midwest,Rye Beer,Other,Other,16,72.0,75,0.576,
Thai.p.a,Bare Hands Brewery,IN,Midwest,American IPA,IPA,Strong Ale,16,70.0,46,0.56,
Citra Faced,Three Pints Brewing,IN,Midwest,American Pale Wheat Ale,Pale Ale,Ale,16,55.0,64,0.44,
Pole Barn Stout,Three Pints Brewing,IN,Midwest,Oatmeal Stout,Stout / Porter,Dark,16,55.0,31,0.44,
Pale,Three Pints Brewing,IN,Midwest,American Pale Ale (APA),Pale Ale,Ale,16,54.0,37,0.432,
Yoshi's Nectar,Three Pints Brewing,IN,Midwest,California Common / Steam Beer,Lager,Lager,16,53.0,27,0.424,
The Gadget,Four Fathers Brewing,IN,Midwest,American IPA,IPA,Strong Ale,16,64.0,90,0.512,
Tribute,Indiana City Brewing,IN,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,58.0,58,0.464,
Tip Off,Sun King Brewing Company,IN,Midwest,Altbier,German Ale,Ale,16,52.0,29,0.416,
Blonde Czich,Evil Czech Brewery,IN,Midwest,American Blonde Ale,Pale Ale,Ale,16,49.0,23,0.392,
Citrafest,450 North Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,50.0,45,0.4,
Deduction,Taxman Brewing Company,IN,Midwest,Dubbel,Belgian,Ale,12,80.0,22,0.64,
Gone A-Rye,Cedar Creek Brewery,TX,South,American Double / Imperial IPA,IPA,Strong Ale,16,85.0,90,0.68,
Heavy Lifting,Boulevard Brewing Company,,,American IPA,IPA,Strong Ale,12,62.0,80,0.496,
Surfrider,The Dudes' Brewing Company,CA,West,American Pale Ale (APA),Pale Ale,Ale,16,52.0,35,0.416,
Cow Creek,Twisted X Brewing Company,TX,South,American Amber / Red Lager,Lager,Lager,12,54.0,26,0.432,
Galaxy IPA,Big Muddy Brewing,IL,Midwest,American IPA,IPA,Strong Ale,16,75.0,60,0.6,
Gose,Lost Nation Brewing,VT,Northeast,Gose,Sour,Other,16,46.0,8,0.368,
Vermont Pilsner,Lost Nation Brewing,VT,Northeast,German Pilsener,German Lager,Lager,16,48.0,20,0.384,
Jah Mon,Rivertowne Brewing Company,PA,Northeast,American IPA,IPA,Strong Ale,12,50.0,100,0.4,
Fist City,Revolution Brewing Company,IL,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,55.0,40,0.44,
Wooden Rooster,Tallgrass Brewing Company,KS,Midwest,Tripel,Belgian,Ale,16,85.0,34,0.68,
4Beans,Sixpoint Craft Ales,NY,Northeast,Baltic Porter,Stout / Porter,Dark,12,100.0,52,0.8,
Easy Jack,Firestone Walker Brewing Company,CA,West,American IPA,IPA,Strong Ale,12,45.0,47,0.36,
Take Two Pils,SweetWater Brewing Company,GA,South,German Pilsener,German Lager,Lager,12,55.0,35,0.44,
Flying Mouse 4,Flying Mouse Brewery,VA,South,American IPA,IPA,Strong Ale,12,70.0,70,0.56,
Moar,Bent Brewstillery,MN,Midwest,English India Pale Ale (IPA),IPA,Strong Ale,12,44.0,44,0.352,
Nordic Blonde,Bent Brewstillery,MN,Midwest,American Blonde Ale,Pale Ale,Ale,12,57.0,27,0.456,
Ginger Peach Saison,Tallgrass Brewing Company,KS,Midwest,Saison / Farmhouse Ale,Ale - Other,Ale,16,48.0,20,0.384,
Mazzie,Pollyanna Brewing Company,IL,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,54.0,45,0.432,
Weissenheimer,Destihl Brewery,IL,Midwest,Hefeweizen,German Ale,Ale,12,52.0,16,0.416,
Send Help,4 Hands Brewing Company,,,American Blonde Ale,Pale Ale,Ale,12,45.0,18,0.36,
Citra Ass Down,Against The Grain Brewery,KY,South,American IPA,IPA,Strong Ale,16,82.0,68,0.656,
The Brown Note,Against The Grain Brewery,KY,South,American Brown Ale,Dark Ale,Dark,16,50.0,20,0.4,
Neomexicanus Native,Crazy Mountain Brewing Company,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,60.0,46,0.48,
Texicali,Freetail Brewing Company,TX,South,American Brown Ale,Dark Ale,Dark,12,65.0,33,0.52,
Bat Outta Helles,Freetail Brewing Company,TX,South,Munich Helles Lager,German Lager,Lager,12,42.0,20,0.336,
Rye Wit,Freetail Brewing Company,TX,South,Witbier,Belgian,Ale,12,42.0,10,0.336,
Soul Doubt,Freetail Brewing Company,TX,South,American IPA,IPA,Strong Ale,12,59.0,70,0.472,
Bimini Twist,3 Daughters Brewing,FL,South,American IPA,IPA,Strong Ale,12,70.0,82,0.56,
Farmer's Daughter Blonde,Red Shedman Farm Brewery and Hop...,MD,South,American Blonde Ale,Pale Ale,Ale,16,51.0,17,0.408,
Pump House IPA,Red Shedman Farm Brewery and Hop...,MD,South,American IPA,IPA,Strong Ale,16,55.0,45,0.44,
Honey Rye,Red Shedman Farm Brewery and Hop...,MD,South,Rye Beer,Other,Other,16,58.0,18,0.464,
Long Leaf,Appalachian Mountain Brewery,NC,South,American IPA,IPA,Strong Ale,16,71.0,75,0.568,
Honey Badger Blonde,Appalachian Mountain Brewery,NC,South,American Blonde Ale,Pale Ale,Ale,16,47.0,19,0.376,
Jalapeno Pale Ale,Birdsong Brewing Company,NC,South,American Pale Ale (APA),Pale Ale,Ale,16,55.0,45,0.44,
Double Duckpin,Union Craft Brewing,MD,South,American Double / Imperial IPA,IPA,Strong Ale,12,85.0,90,0.68,
Old Pro,Union Craft Brewing,MD,South,Gose,Sour,Other,12,42.0,10,0.336,
Abbey's Single (2015- ),Destihl Brewery,IL,Midwest,Abbey Single Ale,Belgian,Ale,12,49.0,22,0.392,
Hop A-Peel,Atwater Brewery,MI,Midwest,American Double / Imperial IPA,IPA,Strong Ale,16,75.0,115,0.6,
Wobble,Two Brothers Brewing Company,IL,Midwest,American IPA,IPA,Strong Ale,16,63.0,69,0.504,
Baby Daddy Session IPA,Speakasy Ales & Lagers,CA,West,American IPA,IPA,Strong Ale,12,47.0,35,0.376,
Saddle Bronc Brown Ale,Black Tooth Brewing Company,WY,West,American Brown Ale,Dark Ale,Dark,12,48.0,16,0.384,
Bomber Mountain Amber Ale,Black Tooth Brewing Company,WY,West,American Amber / Red Ale,Dark Ale,Dark,12,46.0,20,0.368,
Totally Radler,Hopworks Urban Brewery,OR,West,Radler,Other,Other,16,27.0,21,0.216,
Jammer,Sixpoint Craft Ales,NY,Northeast,Gose,Sour,Other,12,42.0,16,0.336,
Pale Alement,Burn 'Em Brewing,IN,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,55.0,40,0.44,
Slow Ride,New Belgium Brewing Company,CO,West,American IPA,IPA,Strong Ale,12,45.0,40,0.36,
Hopvale Organic Ale,Summit Brewing Company,MN,Midwest,American Pale Ale (APA),Pale Ale,Ale,16,47.0,55,0.376,
Hopkick Dropkick,Burn 'Em Brewing,IN,Midwest,American Double / Imperial IPA,IPA,Strong Ale,12,99.0,115,0.792,
Union Jack,Firestone Walker Brewing Company,CA,West,American IPA,IPA,Strong Ale,12,75.0,75,0.6,
India Pale Ale,Kirkwood Station Brewing Company,,,American IPA,IPA,Strong Ale,16,63.0,65,0.504,
Blackberry Wheat,Kirkwood Station Brewing Company,,,American Pale Wheat Ale,Pale Ale,Ale,16,48.0,11,0.384,
Chupahopra,Twisted X Brewing Company,TX,South,American IPA,IPA,Strong Ale,12,75.0,63,0.6,
312 Urban Pale Ale,Goose Island Brewing Company,IL,Midwest,American Pale Ale (APA),Pale Ale,Ale,16,54.0,30,0.432,
Hustle,Rhinegeist Brewery,OH,Midwest,American Amber / Red Ale,Dark Ale,Dark,12,57.0,42,0.456,
Pure Fury,Rhinegeist Brewery,OH,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,55.0,42,0.44,
Self Starter,Warped Wing Brewing Company,OH,Midwest,American IPA,IPA,Strong Ale,16,52.0,67,0.416,
Nugget Nectar,Tröegs Brewing Company,PA,Northeast,American Amber / Red Ale,Dark Ale,Dark,16,75.0,93,0.6,
Bay of Bengal Double IPA (2014),Christian Moerlein Brewing Company,OH,Midwest,American Double / Imperial IPA,IPA,Strong Ale,12,89.0,126,0.712,
Rhode Island Blueberry,Coastal Extreme Brewing Company,RI,Northeast,Kölsch,German Ale,Ale,12,46.0,11,0.368,
Newport Storm IPA,Coastal Extreme Brewing Company,RI,Northeast,American IPA,IPA,Strong Ale,12,65.0,75,0.52,
Watermelon Ale,Beer Works Brewery,,,Fruit / Vegetable Beer,Sour,Other,12,50.0,10,0.4,
Peach Pale Ale,Lone Tree Brewing Company,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,57.0,40,0.456,
White Reaper,Evil Czech Brewery,IN,Midwest,Belgian IPA,IPA,Strong Ale,16,70.0,61,0.56,
Suncaster Summer Wheat,Four String Brewing Company,OH,Midwest,American Pale Wheat Ale,Pale Ale,Ale,12,50.0,28,0.4,
Clean Shave IPA,Glabrous Brewing Company,ME,Northeast,American IPA,IPA,Strong Ale,12,67.0,70,0.536,
Brass Knuckle Pale Ale,Four String Brewing Company,OH,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,57.0,36,0.456,
Big Star White IPA,Four String Brewing Company,OH,Midwest,American White IPA,IPA,Strong Ale,12,70.0,70,0.56,
